user_sn,n_tweets,sportslaw_tweets_per_day,n_retweets,mean_retweets,mean_likes,id,real_name,n_following,n_followers,unique_retweeters,maps_city,sector,gender,maps_iso,maps_continent
LawInSport,425,2.323902226750203,883,2.0776470588235294,4.501176470588235,145208608,LawInSport,949,14673,251,London,news,body,GBR,Europe
MillsandReeve,2,0.010936010478824485,2,1,1,121077904,Mills & Reeve,851,9935,1,London,law,body,GBR,Europe
catherineordway,13,0.07108406811235915,11,0.8461538461538461,6.230769230769231,881394157,"Catherine Ordway, PhD",3180,1810,7,Sydney,academia,female,AUS,Oceania
CRS_Lawyers,1,0.005468005239412242,0,0,0,569040831,Charles Russell Speechlys,1081,2799,NA,London,law,body,GBR,Europe
smithpship,21,0.1148281100276571,1,0.047619047619047616,0.2857142857142857,130436974,Smith Partnership,3877,3604,1,Birmingham,law,body,GBR,Europe
SportsLawIndia,6,0.032808031436473456,25,4.166666666666667,5.5,4427709139,SLPC,289,983,NA,Bangalore,academia,body,IND,Asia
zennie62,15,0.08202007859118364,2,0.13333333333333333,0.6666666666666666,NA,NA,NA,NA,NA,San Francisco,business,male,USA,North America
sportslawMELB,1575,8.612108252074282,1892,1.2012698412698413,1.5187301587301587,1102816689115152400,Melbourne Sports Law,35,911,275,Melbourne,academia,male,AUS,Oceania
nisportslaw,206,1.1264090793189219,530,2.5728155339805827,6.334951456310679,236196880,Sports Law | R McTernaghan BL,3639,2032,76,Dublin,law,male,IRL,Europe
ZeroOffseason,4,0.02187202095764897,0,0,0,947075443,Brian,529,265,NA,Seattle,business,male,USA,North America
rugbyandthelaw,104,0.5686725448988732,248,2.3846153846153846,6.288461538461538,1016247240954966e3,Rugby and the Law,604,2173,103,London,law,male,GBR,Europe
FWWozniak,1,0.005468005239412242,0,0,2,1853953656,Filip Wojciech Woźniak,317,360,NA,Warsaw,law,male,POL,Europe
LawyerCas,28,0.15310414670354278,14,0.5,5,57603874,Cassandra Heilbronn,1162,4454,10,Riyadh,law,female,SAU,Asia
AthleteDefender,25,0.13670013098530606,60,2.4,15.72,3387287019,Jason Setchen,482,1301,37,Miami,law,male,USA,North America
paul_lenehan,3,0.016404015718236728,14,4.666666666666667,9.666666666666666,788306862043230200,Paul Lenehan,175,205,9,Glasgow,law,male,GBR,Europe
39SportsLaw,35,0.1913801833794285,33,0.9428571428571428,1.9142857142857144,1108314557779451900,39 Essex Sports Law,248,132,15,London,law,body,GBR,Europe
WHSSportsMgmt,5,0.02734002619706121,0,0,0.4,3299640488,Wakeland Sports Management,4999,1502,NA,Dallas,business,body,USA,North America
seancallanan,3,0.016404015718236728,0,0,1.6666666666666667,17765045,Sean Callanan,8717,18972,NA,Melbourne,business,male,AUS,Oceania
AndrewJGray,1,0.005468005239412242,1,1,2,19865916,Andrew Gray,306,179,NA,San Francisco,law,male,USA,North America
MatJessep,32,0.17497616766119176,21,0.65625,5.875,303518999,Mat Jessep,2983,2149,12,Sydney,law,male,AUS,Oceania
iamchrisrodwell,4,0.02187202095764897,1,0.25,0,704325855019995100,chris rodwell,991,140,NA,London,law,male,GBR,Europe
JayaBajaj2,2,0.010936010478824485,1,0.5,2.5,913119744819171300,Jaya Bajaj,576,130,NA,London,law,female,GBR,Europe
leiemcampo,10,0.05468005239412242,18,1.8,7.1,1034076548851269600,@leiemcampo,332,3813,5,Sao Paulo,news,body,BRA,South America
MNsportslaw,48,0.26246425149178765,20,0.4166666666666667,1.5833333333333333,96831633,Aalok Sharma,2736,318,18,Minneapolis,law,male,USA,North America
wladimyr,2,0.010936010478824485,3,1.5,5,34433031,Wladimyr Camargos,974,1613,NA,Brasilia,academia,male,BRA,South America
MRsportslaw,7,0.038276036675885694,38,5.428571428571429,9,757499613477732400,Mills & Reeve Sport,160,2449,15,London,law,body,GBR,Europe
AdamEpstein,9,0.049212047154710184,7,0.7777777777777778,3.888888888888889,491241440,Adam Epstein,197,211,2,Detroit,academia,male,USA,North America
WilliamFryLaw,15,0.08202007859118364,13,0.8666666666666667,2.066666666666667,707213083513638900,WILLIAM FRY,1422,1568,8,Dublin,law,male,IRL,Europe
FootballLawDS,7,0.038276036675885694,6,0.8571428571428571,9.714285714285714,263434616,David Seligman,1171,4168,2,Manchester,law,male,GBR,Europe
lesleylimaili,8,0.04374404191529794,4,0.5,0.75,142600024,Lesley Lim,754,554,3,Kuala Lumpur,law,female,MYS,Asia
GrupoRLD,1,0.005468005239412242,0,0,0,576070775,RLD,1130,1278,NA,Madrid,law,body,ESP,Europe
nickdemarco_,35,0.1913801833794285,86,2.4571428571428573,15,137814696,Nick De Marco QC,668,7291,46,London,law,male,GBR,Europe
IvanParron,1,0.005468005239412242,0,0,0,308668831,"Ivan Parron, Esq.",2111,1351,NA,Miami,law,male,USA,North America
DanMatheson,5,0.02734002619706121,5,1,22.6,495653694,Dan Matheson,483,1777,3,Chicago,academia,male,USA,North America
ChristianDennie,44,0.24059223053413867,17,0.38636363636363635,1.1136363636363635,552000761,Christian Dennie,136,279,13,Dallas,law,male,USA,North America
carreroquintero,3,0.016404015718236728,1,0.3333333333333333,0.3333333333333333,121825108,Carrero & Quintero,514,2217,1,Caracas,law,body,VEN,South America
Kibkabe,3,0.016404015718236728,0,0,0.3333333333333333,28927720,Kibkabe Araya,2225,1003,NA,Los Angeles,law,female,USA,North America
MickyCecunjanin,1,0.005468005239412242,1,1,2,1104418779512143900,EvPsyMick.,600,226,NA,Cleveland,NA,male,USA,North America
MurchisonLaw,1,0.005468005239412242,0,0,0,277569761,Murchison & Cumming,126,131,NA,Los Angeles,law,body,USA,North America
Akinyemiesq,8,0.04374404191529794,53,6.625,8,775010063874396200,'Tósìn Akìnyèmi,217,378,30,Lagos,law,male,NGA,Africa
SNafissi,34,0.18591217814001623,69,2.0294117647058822,10.323529411764707,3329061669,Shervine Nafissi,1610,1022,39,Zurich,law,male,CHE,Europe
ermanlawyer,13,0.07108406811235915,8,0.6153846153846154,0.5384615384615384,1003901351653339100,Nik_ErmanLawyer,427,134,2,Kuala Lumpur,law,male,MYS,Asia
NielsVerborgh,9,0.049212047154710184,17,1.8888888888888888,6.444444444444445,255083069,Niels Verborgh,100,875,NA,Bruxelles,law,male,BEL,Europe
BrabnersSport,30,0.16404015718236728,73,2.433333333333333,4.166666666666667,1024245464449859600,Brabners Sport,610,311,22,Manchester,law,body,GBR,Europe
rw_chambers,8,0.04374404191529794,15,1.875,0.875,1138132632816930800,Richard Wee Chambers,23,67,4,Kuala Lumpur,law,body,MYS,Asia
CarolCouse1,1,0.005468005239412242,8,8,18,1900145882,Carol Couse,488,1460,NA,Manchester,law,female,GBR,Europe
sportslegal_ke,13,0.07108406811235915,11,0.8461538461538461,1.6153846153846154,718325520606314500,Sports Legal,254,426,1,Nairobi,business,body,KEN,Africa
