id,created_date,grabbed_date,tweet_age_hours,tweet_id,user_sn,tweet_text,n_retweets.x,n_favorites,created_day,dist_mean,dist_max,n_retweets.y,n_known_retweets,n_domestic,n_same_continent,n_other_continents,max_reach,per_domestic,per_same_continent,per_other_continent,unique_countries,tweeter_city,tweeter_country,tweeter_continent,geo_dist_group,global
1316,2019-08-11T00:15:04Z,2019-08-12T13:14:06Z,36.9838888888889,1160343841129582592,SheillaDingus,"I wanted to get a real article out this week but as you can see I'm a bit buried in paper.  So...instead of my lengthy meandering on one or two cases, here's an update on 15 and over 10,000 pages of documents I've been sorting through this week. #sportslaw
https://t.co/JHOYRO1T1b",6,9,2019-08-11,773.4838484970916,773.4838484970916,1,1,1,0,0,1,1,0,0,1,Memphis,USA,North America,Short distance,FALSE
1317,2019-08-10T18:42:01Z,2019-08-12T13:14:07Z,42.535,1160260025606135808,LawInSport,"The legality of geo-blocking: could Sky’s recent commitments in the “Pay-TV” case impact European sports broadcasting? - LawInSport - By Ciaran Fitzgerald-Morgan

@Ciaranfm 

https://t.co/wAoGfhWttV

#sportslaw https://t.co/YHRwYF1ekv",1,7,2019-08-10,9226.299810672155,9226.299810672155,1,1,0,0,1,3,0,0,1,1,London,GBR,Europe,Medium distance,TRUE
1318,2019-08-10T18:42:00Z,2019-08-12T13:14:07Z,42.5352777777778,1160260022401753088,LawInSport,"Whytes Bikes v Rich Energy - lessons from the Haas F1 Team sponsor’s copyright dispute - LawInSport -  By Gavin Stenton and Jaya Bajaj

@JayaBajaj2 

https://t.co/o7TVof6yT8

#sportslaw",1,3,2019-08-10,9226.299810672155,9226.299810672155,1,1,0,0,1,3,0,0,1,1,London,GBR,Europe,Medium distance,TRUE
1335,2019-08-09T19:33:58Z,2019-08-12T13:14:07Z,65.6691666666667,1159910714091458561,DrTab3,Had a great experience presenting on the #SportsLaw panel at @ALSB_Law along with @NathanielGrow @MarcEdelman @KKisska13 @Johnsportslaw and @AdamEpstein https://t.co/H8eJdNbOdH,3,20,2019-08-09,964.31255027975806,964.31255027975806,1,1,1,0,0,1,1,0,0,1,Atlanta,USA,North America,Short distance,FALSE
1350,2019-08-09T10:47:24Z,2019-08-12T13:14:07Z,74.4452777777778,1159778195865866241,EskaLaw,"برگرفته از متن این یادداشت:

البته که تشکیل تیم #پناهندگان در #المپیک ریو ۲۰۱۶ اقدامی رو به جلو است، اما بیرون راندن بی‌خانمانان برای ساختن دهکده‌های المپیک پذیرفته نیست.

#حقوق‌بشر #ورزش #SportsLaw #HumanRights https://t.co/KNRuhVPV87",3,7,2019-08-09,0,0,1,1,1,0,0,1,1,0,0,1,Tehran,IRN,Asia,Short distance,FALSE
1354,2019-08-09T07:55:59Z,2019-08-12T13:14:07Z,77.3022222222222,1159735060339286016,prof_mark_james,"Excellent article on how #HumanRights need embedding properly in sport:
'""Do no harm!"" means that doing good in some aspects cannot outweigh harm done in other areas: Inviting a refugee team to Rio is fine, having Favelas evicted to build the #Olympic Village is not' #sportslaw https://t.co/zxEVqSeR74",6,14,2019-08-09,3852.4472329164228,6683.830629498664,2,2,0,1,1,3,0,0.5,0.5,2,Manchester,GBR,Europe,Medium distance,TRUE
1355,2019-08-09T07:46:16Z,2019-08-12T13:14:07Z,77.4641666666667,1159732614409924609,d_mavromati,"My book review of “Football and the Law” edited by @nickdemarco_ with contributions by 53 authors, including @MarkHovell @FootballLaw @jrvkfootball @EmmaPMason and many more !
#sportslaw #footballlaw 

https://t.co/lH8Nj5bh6q https://t.co/Ve9veATv35",9,31,2019-08-09,7002.099566432954,16568.22520301092,4,4,0,2,2,3,0,0.5,0.5,4,Zurich,CHE,Europe,Long distance,TRUE
1368,2019-08-08T21:37:01Z,2019-08-12T13:14:07Z,87.6183333333333,1159579288754106368,LawInSport,"AFC Disciplinary and Ethic Committee bans four players for life - LawInSport 

https://t.co/cfE0apDtE8

#sportslaw",1,4,2019-08-08,9226.299810672155,9226.299810672155,1,1,0,0,1,3,0,0,1,1,London,GBR,Europe,Medium distance,TRUE
1370,2019-08-08T17:39:01Z,2019-08-12T13:14:07Z,91.585,1159519395292635137,LawInSport,"AFC Disciplinary and Ethic Committee bans player for Anti-doping violations - LawInSport 

https://t.co/HqkDKQZYLy

#sportslaw https://t.co/rAV5pYIpqH",2,3,2019-08-08,4792.153407996206,9226.299810672155,2,2,0,1,1,3,0,0.5,0.5,2,London,GBR,Europe,Medium distance,TRUE
1371,2019-08-08T17:18:42Z,2019-08-12T13:14:07Z,91.9236111111111,1159514284726075392,BCLPlaw,"Please join us as we dive below the surface and look at some of the biggest social and legal ""icebergs"" currently facing the sport sector. #sports #sportslaw  #concussion #doping https://t.co/kpbwd9RzdF https://t.co/fXzDA9lvQe",1,2,2019-08-08,1281.9850171693297,1281.9850171693297,1,1,1,0,0,1,1,0,0,1,St. Louis,USA,North America,Short distance,FALSE
1374,2019-08-08T13:32:17Z,2019-08-12T13:14:07Z,95.6972222222222,1159457302073749504,rugbyandthelaw,"Some constructive and important law trials to go ahead.

Essential for the long-term health of both the game and its players.

#playerwelfare #rugby #concussion #sportslaw https://t.co/yuxBOWDcuB",1,2,2019-08-08,0,0,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
1376,2019-08-08T11:49:23Z,2019-08-12T13:14:07Z,97.4122222222222,1159431408458313729,wmsportsgroup,@wmsportsgroup has advised @SheffieldUnited on another significant new commercial partnership as they head into the 2019/20 Premier League campaign. https://t.co/JtofqB72GM #sportslaw #sufc https://t.co/wmVevD9T4v,3,2,2019-08-08,0,0,1,1,1,0,0,1,1,0,0,1,West Yorkshire,GBR,Europe,Short distance,FALSE
